id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2039611,"big, beautiful& bright room in Kreuzberg with CAT!",10463112,Judith,Friedrichshain-Kreuzberg,sÃ¼dliche Luisenstadt,52.49833074,13.43972599,Private room,15,6,5,7/16/2017,0.08,1,0
2039932,Charming apartment in Berlin,8909678,Kathrin,NeukÃ¶lln,Rixdorf,52.48651778,13.44755005,Entire home/apt,36,7,17,10/17/2017,0.34,1,0
2042597,Cozy 2-room flat in the heart of Berlin,8334654,JÃ¼rgen,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ¼d FK,52.51298666,13.46934915,Entire home/apt,70,3,3,11/30/2016,0.05,1,350
2043979,The Vintage Corner in KreuzkÃ¶lln ,10481406,The Vintage Corner In KreuzkÃ¶lln,Treptow - KÃ¶penick,Alt  Treptow,52.48943054,13.45293262,Private room,39,3,111,10/29/2018,2.07,1,222
2044887,"prenzlauer berg, mauer park+bikes",405844,Julian,Pankow,Prenzlauer Berg Nordwest,52.5469033,13.40509133,Entire home/apt,46,5,126,11/3/2018,2.14,2,58
2045991,"Mauerpark-Apartment, Berlin Mitte",10489231,Janna,Pankow,Prenzlauer Berg Nordwest,52.54187622,13.40672125,Entire home/apt,115,28,98,10/9/2018,1.65,1,172
2046400,loft atelier studio 200 sqm,9884877,Wolf,Mitte,Alexanderplatz,52.50870449,13.42354355,Entire home/apt,80,7,2,1/7/2018,0.19,1,0
2047139,Berliner Altbau Charme,10494820,Inga,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-SÃ¼d,52.48233198,13.36147269,Private room,29,8,136,9/27/2018,2.28,1,327
2049411,Apartment in Kreuzberg,147778,Filippo,Friedrichshain-Kreuzberg,sÃ¼dliche Luisenstadt,52.49947586,13.44327642,Entire home/apt,108,6,4,1/2/2015,0.08,1,0
2050016,"STYLISH APT * QUIET, GREAT LOCATION",10506886,Inga,NeukÃ¶lln,Schillerpromenade,52.47680081,13.4238978,Entire home/apt,69,60,2,5/21/2018,0.03,2,339
2053014,*Modern Berlin - City - Apartment*,1332388,Rosita,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-SÃ¼d,52.48248763,13.3550265,Entire home/apt,50,5,11,9/23/2018,0.2,2,302
2056917,Room in shared WG facing GÃ¶rli park,9560030,Marieke,Friedrichshain-Kreuzberg,sÃ¼dliche Luisenstadt,52.49467624,13.44294122,Private room,30,1,8,9/9/2018,0.14,2,0
2057982,HIGH DESIGN IN THE HEART OF BERLIN,10537681,Heike,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ¼d FK,52.51482629,13.45682211,Entire home/apt,99,6,97,6/1/2018,1.64,2,149
2058459,"Upscale, cozy and fully equipped",892344,Tim,Pankow,Prenzlauer Berg Nordwest,52.54827234,13.41338323,Private room,40,4,3,9/30/2015,0.07,1,0
2059152,Apartment am Mauerstreifen,10542019,Cathrin,Mitte,Brunnenstr. SÃ¼d,52.53653328,13.39506402,Entire home/apt,55,2,19,4/25/2016,0.35,2,67
2060443,The NeukÃ¶lln Experience,10546460,Helen,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.4825961,13.42819433,Private room,25,3,2,7/29/2016,0.07,1,0
2061212,studio spacious bright calm balcony,6021865,Kitty,Pankow,Prenzlauer Berg SÃ¼d,52.53286507,13.42360632,Entire home/apt,98,3,177,11/4/2018,3.15,1,311
2061221,"Townhouse, City, Berlin",10549554,Claudia,Lichtenberg,Rummelsburger Bucht,52.49615908,13.48225676,Entire home/apt,210,1,0,,,1,0
2066031,LOVE AT FIRST SIGHT Berlin *MITTE*,10537681,Heike,Mitte,Alexanderplatz,52.52876752,13.40521616,Entire home/apt,89,5,20,8/11/2018,0.42,2,16
2068645,"Sunny, sweet apartment in Charlottenburg",5146286,Darya,Charlottenburg-Wilm.,KantstraÃŸe,52.50792891,13.30269684,Entire home/apt,55,2,3,5/12/2018,0.1,1,0
2075180,Wonderful room in Berlin!,10606456,Agnes,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-SÃ¼d,52.48324536,13.36425951,Private room,30,2,120,8/20/2018,4.61,1,0
2076483,DESIGN APARTMENT - MITTE,2247027,Jacopo,Mitte,Alexanderplatz,52.5116172,13.41122357,Entire home/apt,90,20,10,9/15/2018,0.21,1,355
2078746,Bright and spacious apartment,10506886,Inga,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.4702129,13.43149648,Entire home/apt,59,60,18,2/28/2018,0.33,2,340
2079942,Romantic refuge,10627013,Thalia,Charlottenburg-Wilm.,SchloÃŸ Charlottenburg,52.51255935,13.28693227,Entire home/apt,55,5,70,10/27/2018,1.19,1,296
2080635,Perfectly central generous city apt,10629733,David,Mitte,Alexanderplatz,52.52305304,13.38415345,Entire home/apt,169,2,7,1/1/2018,0.16,1,0
2081260,"SchÃ¶nes Apartment, Balkon (DG), in Mitte/Kreuzberg",2003296,Beatrice,Mitte,Alexanderplatz,52.50759604,13.42457647,Entire home/apt,85,3,9,6/6/2018,1.06,1,0
2081848,25qm room with balcony in Friedrichshain,3659319,Alex,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5235329,13.45256692,Private room,35,3,15,9/16/2017,0.26,1,221
2084617,Cosy big flat to sublet w balcony,10647003,Amanda,NeukÃ¶lln,ReuterstraÃŸe,52.48517402,13.43876493,Entire home/apt,45,4,3,6/9/2018,0.07,1,0
2084992,Nice & central Kreuzberg Apartment,6302373,Andreas,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48873367,13.4142795,Entire home/apt,81,5,9,1/3/2018,0.21,1,0
2086586,"nice and cute apartment,kreuzberg",5197087,Marie,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50148548,13.429928,Entire home/apt,63,7,37,1/2/2018,0.66,1,0
2086909,Design flat_Berlin-Friedrichshain,7416564,Paolo,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ¼d FK,52.50941195,13.45853427,Entire home/apt,42,90,5,10/31/2018,0.08,1,221
2087068,Charming Studio Apartment,10587695,Manuela,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ¼d FK,52.51052489,13.4559802,Entire home/apt,45,85,32,4/8/2018,0.92,2,0
2088271,three rooms in Berlin Mitte,10659611,Jan,Mitte,Brunnenstr. SÃ¼d,52.53107457,13.3903068,Entire home/apt,55,4,0,,,1,0
2092972,5 min walk to Alexanderplatz,8873523,Jens,Pankow,Prenzlauer Berg SÃ¼d,52.52700102,13.419604,Private room,30,3,233,12/20/2017,4.07,1,44
2093486,Prenzlauer Berg,10681555,Alexander,Pankow,Prenzlauer Berg Nord,52.54947487,13.42427758,Entire home/apt,59,20,61,8/15/2018,1.11,1,270
2094536,Stylish vintage studio with balcony,627959,Ute,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ¼d FK,52.51378603,13.45969436,Entire home/apt,65,3,28,10/24/2018,0.48,3,309
2095733,Modern - Hell - Mitten in der City,10691523,Beate,Mitte,Tiergarten SÃ¼d,52.50933374,13.3760549,Private room,97,4,44,10/19/2018,0.75,1,351
2096284,Nice sunny room in a shared flat,10693453,Laure,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49129913,13.40958194,Private room,30,5,1,2/16/2016,0.03,1,0
2096970,cute little studio at Maybachufer,10696403,Frank,NeukÃ¶lln,ReuterstraÃŸe,52.49424179,13.4222548,Entire home/apt,50,6,26,10/18/2018,0.44,1,99
2097823,Perfect location to stay in Berlin/Mitte,9350790,Isabel,Mitte,Brunnenstr. SÃ¼d,52.52856624,13.38815266,Entire home/apt,109,58,48,8/15/2018,0.87,1,341
2098124,Creative + Renovated + Cool Bergmannkiez,10692949,Suites & More,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48985735,13.37653665,Entire home/apt,79,2,167,10/27/2018,2.83,3,83
